County With Asterisks,County,Maintenance?,In Review?,Total Remon Corners in County,Remon Corners Completed thru 2022 Grant Cycle,Percent Remon Corners Completed thru 2022 Grant Cycle,Average Spent per Corner Completed,Total State Grants Awarded thru 2022 Grant Cycle,Total State Grants Expended thru 2022 Grant cycle,pop_d,roadoverarea,wetlandd
Alcona,Alcona,No,No,2120,1612,0.76,768.44,1244055.97,1238722.34,14.643791,2594,0.205478
Alger,Alger,No,No,4256,1757,0.4128,910.19,1603254.97,1599209.33,9.43768,1810,0.245467
Allegan,Allegan,No,No,4054,3166,0.781,751.4,2486223.41,2378924.6,143.115858,4853,0.140837
Alpena,Alpena,No,No,2060,1414,0.6864,815.5,1160873.67,1153113.72,48.644574,2567,0.408606
Antrim,Antrim,No,No,2007,987,0.4918,1139.45,1151102.89,1124632.87,44.65472,3594,0.170798
Arenac,Arenac,No,No,1092,818,0.7491,934.41,764546.46,764344.69,40.790082,3682,0.249951
Baraga,Baraga,No,No,2941,1378,0.4685,1092.72,1521989.86,1505767.3,8.89268,1448,0.211909
Barry*,Barry,No,Yes,2250,2366,1.0516,645.22,1561737.5,1526592.83,108.250265,4384,0.168299
Bay**,Bay,Yes,No,2071,2071,1.0,1001.7,2167209.83,2074511.23,231.235945,5641,0.108126
Benzie,Benzie,No,No,1657,1225,0.7393,595.49,827089.29,729478.96,51.713566,4102,0.187897
Berrien,Berrien,No,No,2628,1755,0.6678,1208.9,2178759.19,2121620.65,265.933926,6553,0.107205
Branch*,Branch,No,Yes,1872,1373,0.7334,832.06,1143219.59,1142418.08,86.401402,4099,0.159225
Calhoun,Calhoun,No,No,3481,3250,0.9336,776.95,2592044.09,2525074.83,187.091381,4847,0.187238
Cass,Cass,No,No,2591,1224,0.4724,966.94,1221920.29,1183536.4,101.535719,4174,0.15625
Charlevoix,Charlevoix,No,No,1906,859,0.4507,1410.45,1224662.13,1211579.79,57.448253,3491,0.260622
Cheboygan,Cheboygan,No,No,2615,2036,0.7786,703.96,1436120.09,1433268.29,32.159579,3373,0.322688
Chippewa,Chippewa,No,No,7335,3906,0.5325,762.47,2978226.7,2978223.54,20.33312,1776,0.439082
Clare,Clare,No,No,2416,1854,0.7674,709.14,1314977.51,1314751.26,53.680384,3788,0.207719
Clinton,Clinton,No,No,2127,1649,0.7753,938.03,1549635.0,1546805.61,137.83289,4495,0.102837
Crawford,Crawford,No,No,2727,1316,0.4826,833.81,1110506.04,1097293.27,23.076486,3708,0.099716
Delta,Delta,No,No,5478,4679,0.8541,517.57,2424956.15,2421687.64,31.279773,1986,0.414273
Dickinson,Dickinson,No,No,2941,2589,0.8803,554.11,1436385.08,1434579.87,33.441304,2073,0.293073
Eaton,Eaton,No,No,2786,2579,0.9257,787.96,2032369.33,2032144.09,188.5471,4731,0.12155
Emmet,Emmet,No,No,2398,991,0.4133,1152.14,1153714.46,1141766.33,70.512092,3933,0.204168
Genesee,Genesee,No,No,3089,2591,0.8388,1439.92,3811310.25,3730826.67,625.756939,8044,0.091373
Gladwin,Gladwin,No,No,2455,1487,0.6057,759.68,1129648.8,1129648.8,49.239405,3404,0.278841
Gogebic,Gogebic,No,No,4121,3456,0.8386,554.11,1927832.61,1914988.91,12.559012,1681,0.26566
Grand Traverse,Grand Traverse,No,No,2384,1954,0.8196,836.55,1639868.09,1634618.2,194.429872,5333,0.137154
Gratiot,Gratiot,No,No,2704,1669,0.6172,781.18,1304934.95,1303797.58,73.118249,4230,0.101889
Hillsdale,Hillsdale,No,No,2884,1447,0.5017,922.74,1336623.48,1335209.25,75.433312,3951,0.11311
Houghton,Houghton,No,No,4009,1558,0.3886,1195.81,1869210.94,1863066.21,35.867094,2202,0.167773
Huron,Huron,No,No,4086,1985,0.4858,830.78,1674064.7,1649097.05,37.467289,3806,0.077527
Ingham,Ingham,No,No,2698,2682,0.9941,1029.19,2771267.77,2760293.13,508.52186,6466,0.141377
Ionia,Ionia,No,No,2674,1664,0.6223,820.09,1364637.26,1364637.26,115.23796,4181,0.113303
Iosco,Iosco,No,No,2875,1286,0.4473,892.77,1155612.86,1148100.28,44.560515,3743,0.217638
Iron,Iron,No,No,5040,4141,0.8216,480.42,1994479.49,1989434.88,9.607142,1833,0.255139
Isabella,Isabella,No,No,2275,2007,0.8822,728.87,1466091.17,1462850.72,111.559803,4227,0.143686
Jackson,Jackson,No,No,3452,2709,0.7848,867.47,2368831.12,2349966.35,221.837669,4923,0.227567
Kalamazoo,Kalamazoo,No,No,2721,2136,0.785,1189.2,2715955.42,2540126.33,451.196025,6433,0.146979
Kalkaska,Kalkaska,No,No,2117,1968,0.9296,547.43,1077773.0,1077338.9,31.468262,3298,0.138714
Kent**,Kent,Yes,No,4712,4717,1.0011,1023.31,5528442.84,4826942.15,755.139258,8474,0.126879
Keweenaw,Keweenaw,No,No,1468,828,0.564,1067.27,896965.48,883699.23,3.636222,1079,0.226755
Lake,Lake,No,No,2223,1894,0.852,574.48,1088334.0,1088058.6,21.081283,4322,0.115222
Lapeer,Lapeer,No,No,3133,1781,0.5685,977.09,1743017.59,1740194.04,133.760586,4385,0.138407
Leelanau,Leelanau,No,No,1134,1076,0.9489,801.3,866842.83,862200.22,59.383688,3973,0.151199
Lenawee,Lenawee,No,No,3539,2121,0.5993,880.36,1977205.99,1867237.85,130.68069,4286,0.086155
Livingston**,Livingston,Yes,No,2365,2395,1.0127,1362.79,3367653.67,3263872.88,331.378961,6428,0.192745
Luce,Luce,No,No,3624,1834,0.5061,820.26,1504361.28,1504361.28,6.925093,1083,0.447365
Mackinac,Mackinac,No,No,4210,2173,0.5162,852.37,1852563.25,1852206.04,10.18418,1956,0.410602
Macomb**,Macomb,Yes,No,2420,2409,0.9955,2992.47,7229042.5,7208864.92,1821.401332,13518,0.075318
Manistee,Manistee,No,No,2191,1702,0.7768,621.82,1124756.55,1058341.28,44.915391,4168,0.152163
Marquette,Marquette,No,No,7533,2735,0.3631,1321.73,3618934.52,3614925.64,35.322244,1900,0.274828
Mason**,Mason,Yes,No,1852,1861,1.0049,563.6,1054163.43,1048860.38,56.996618,4137,0.17958
Mecosta,Mecosta,No,No,2753,2337,0.8489,525.52,1263084.24,1228130.88,69.566162,4404,0.156375
Menominee**,Menominee,Yes,No,4142,4218,1.0183,459.69,2024249.27,1938991.47,22.357983,2363,0.466871
Midland,Midland,No,No,2050,1828,0.8917,802.06,1482583.52,1466162.52,158.216705,4280,0.243654
Missaukee,Missaukee,No,No,2132,1632,0.7655,653.48,1066471.57,1066471.57,26.254432,2889,0.216361
Monroe,Monroe,No,No,2231,1744,0.7817,1095.1,1971319.67,1909859.34,277.639876,5676,0.064128
Montcalm,Montcalm,No,No,3415,2639,0.7728,760.74,2011554.73,2007592.12,92.472291,4464,0.176265
Montmorency,Montmorency,No,No,2182,1672,0.7663,623.69,1047346.2,1042813.3,16.283697,2684,0.187563
Muskegon**,Muskegon,Yes,No,2204,2210,1.0027,865.88,2019384.11,1913585.29,331.418947,6387,0.144799
Newaygo,Newaygo,No,No,3394,3085,0.909,692.39,2136087.71,2136037.79,58.043014,3913,0.15071
Oakland**,Oakland,Yes,No,4252,4415,1.0383,2637.67,11945795.18,11645310.13,1405.664342,13545,0.14567
Oceana,Oceana,No,No,2034,1781,0.8756,642.63,1145060.85,1144529.3,48.835808,4461,0.132311
Ogemaw,Ogemaw,No,No,2829,1266,0.4475,916.2,1164587.87,1159908.26,36.142649,3625,0.181634
Ontonagon,Ontonagon,No,No,5040,3450,0.6845,790.15,2176849.33,2726004.48,4.377875,1282,0.106583
Osceola,Osceola,No,No,2807,2378,0.8472,539.31,1282543.85,1282489.23,39.985048,3789,0.16294
Oscoda,Oscoda,No,No,2531,1865,0.7369,552.25,1029949.03,1029949.03,14.389597,3131,0.089361
Otsego,Otsego,No,No,2100,1328,0.6324,766.63,1090347.25,1018085.48,47.707333,3536,0.120575
Ottawa**,Ottawa,Yes,No,2901,2901,1.0,919.73,2909343.81,2668131.13,513.650978,7065,0.108054
Presque Isle,Presque Isle,No,No,2627,1785,0.6795,679.8,1218007.68,1213434.97,18.965235,2751,0.364149
Roscommon,Roscommon,No,No,2712,1818,0.6704,802.46,1469422.55,1458874.38,40.466517,3534,0.361276
Saginaw,Saginaw,No,No,2894,2416,0.8348,1017.52,2553956.88,2458332.81,233.17525,5238,0.09367
Sanilac,Sanilac,No,No,4602,2312,0.5024,831.49,1922891.68,1922409.92,42.132258,3570,0.07654
Schoolcraft,Schoolcraft,No,No,4640,2531,0.5455,790.13,2000154.35,1999829.81,6.593529,1363,0.542049
Shiawassee,Shiawassee,No,No,2206,1987,0.9007,848.71,1667226.77,1686383.37,125.977507,4347,0.11228
