StateProgressReport2021_County,StateProgressReport2021_Total_Remon_Corners_in_County,StateProgressReport2021_Remon_Corners_Completed_thru_2018_Grant_Cycle,StateProgressReport2021_Aveverage_Spent_per_Corner_Completed,StateProgressReport2021_Total_State_Grants_Awarded_thru_2018_Grant_Cycle,StateProgressReport2021_Total_State_Grants_Expended_thru_2018_Grant_Cycle,StateProgressReport2021_TotalArea,StateProgressReport2021_TotalAreaRUCA7Plus,StateProgressReport2021_TotalAreaRUCA99,StateProgressReport2021_WeightedRuggednessScale,StateProgressReport2021_WeightedTRI,StateProgressReport2021_RoadCount,StateProgressReport2021_TotalPopulation,StateProgressReport2021_AverageTRI,StateProgressReport2021_RoadsPerSqMile,StateProgressReport2021_PercentRUCA7Plus,StateProgressReport2021_PopulationDensity,StateProgressReport2021_TotalAreaRUCA8Plus,StateProgressReport2021_TotalAreaRUCA9Plus,StateProgressReport2021_PercentRUCA8Plus,StateProgressReport2021_PercentRUCA9Plus,StateProgressReport2021_Percent_Remon_Corners_Completed_thru_2018_Grant_Cycle
Alcona,2120,1557,740.28,1157588.97,1152615.66,674.7,674.7,0,674.7,10580.7028,13510,10942,15.6820850748481,20.0237142433674,1,16.2175781828961,674.7,674.7,1,1,0.734
Alger,4256,1678,887.39,1493049.97,1489034.33,915.1,694.9,0,915.1,12300.0812,14982,9601,13.4412427057152,16.37198120424,0.759370560594471,10.4917495355699,0,0,0,0,0.394
Allegan,4054,3097,717.59,2319916.41,2222369.31,825.1,177.8,0,829.4,9507.4575,17770,111408,11.5227942067628,21.5367834201915,0.215489031632529,135.02363349897,173.5,173.5,0.210277542116107,0.210277542116107,0.764
Alpena,2060,1361,763.71,1080985.67,1073339.88,571.8,0,0,571.8,5735.9604,7504,29598,10.0314102833158,13.123469744666,0,51.7628541448059,0,0,0,0,0.661
Antrim,2007,940,1125.46,1072106.89,1057929.52,475.7,475.7,0,739.3,10542.9864,9924,23580,22.1630994324154,20.8618877443767,1,49.5690561278116,475.7,475.7,1,1,0.468
Arenac,1092,779,913.89,712059.46,711923.21,363.2,363.2,0,363.2,2880.8417,6880,15899,7.93183287444934,18.942731277533,1,43.7747797356828,363.2,363.2,1,1,0.713
Baraga,2941,1298,1078.5,1415820.86,1399896.06,898.3,898.3,0,1316.6,15470.4094,13644,8860,17.2218739841924,15.1886897473005,1,9.86307469664923,898.3,898.3,1,1,0.441
Barry,2250,2298,620.66,1459244.5,1426267.39,553.1,142.5,0,586.5,7842.6409,11359,59173,14.1794266859519,20.5369734225276,0.257638763333936,106.984270475502,72.3,72.3,0.130717772554692,0.130717772554692,1.021
Bay,2071,2071,687.61,2093631.83,2000933.23,442.3,37.5,0,442.3,2175.2223,9915,107771,4.91797942572914,22.4169115984626,0.084784083201447,243.660411485417,37.5,37.5,0.084784083201447,0.084784083201447,0
Benzie,1657,1206,566.88,775097.29,683655.51,319.7,89.3,0,517.6,5863.4438,6981,17525,18.3404560525493,21.8360963403191,0.279324366593682,54.8170159524554,89.3,89.3,0.279324366593682,0.279324366593682,0.727
Berrien,2628,1670,1192.11,2038872.19,1990824.63,567.8,99.7,0,567.8,6326.383,14546,156813,11.1419214512152,25.6181754138781,0.175589996477633,276.176470588235,67.4,67.4,0.118703768932723,0.118703768932723,0.635
Branch,1872,1308,812.11,1062983.59,1062240.45,506.4,0,0,506.4,4553.1672,9475,45248,8.99124644549764,18.7105055292259,0,89.3522906793049,0,0,0,0,0.669
Calhoun,3481,3147,734.64,2436785.09,2372933.73,706.4,316.8,0,706.4,7274.488,14328,136146,10.2979728199321,20.2831257078143,0.448471121177803,192.732163080408,283.8,226.2,0.401755379388448,0.320215175537939,0.904
Cass,2591,1165,994.18,1137271.29,1099965.57,489.9,230.5,0,489.9,6020.3806,9787,52293,12.2889989793835,19.9775464380486,0.470504184527455,106.74219228414,102.1,102.1,0.208409879567259,0.208409879567259,0.449
Charlevoix,1906,831,1373.98,1153914.13,1141780.72,416.3,416.3,0,647.1,8682.5042,8900,25949,20.8563636800384,21.3788133557531,1,62.3324525582513,411.5,164.7,0.988469853471055,0.395628152774441,0.436
