County,avg_cost_per_marker,SourceCounty
Alcona,768.44,Alcona
Alger,910.19,Alcona
Antrim,1139.45,Alcona
Baraga,1092.72,Alcona
Clare,709.14,Alcona
Emmet,1152.14,Alcona
Houghton,1195.81,Alcona
Iosco,892.77,Alcona
Missaukee,653.48,Alcona
Montmorency,623.69,Alcona
Ogemaw,916.2,Alcona
Alger,910.19,Alger
Alcona,768.44,Alger
Baraga,1092.72,Alger
Charlevoix,1410.45,Alger
Dickinson,554.11,Alger
Gogebic,554.11,Alger
Iron,480.42,Alger
Keweenaw,1067.27,Alger
Marquette,1321.73,Alger
Missaukee,653.48,Alger
Montmorency,623.69,Alger
Allegan,751.4,Allegan
Cass,966.94,Allegan
Eaton,787.96,Allegan
Grand Traverse,836.55,Allegan
Isabella,728.87,Allegan
Lapeer,977.09,Allegan
Mecosta,525.52,Allegan
Oceana,642.63,Allegan
St. Clair,1678.03,Allegan
St. Joseph,927.18,Allegan
Van Buren,1189.7,Allegan
Alpena,815.5,Alpena
Cheboygan,703.96,Alpena
Chippewa,762.47,Alpena
Delta,517.57,Alpena
Dickinson,554.11,Alpena
Gladwin,759.68,Alpena
Luce,820.26,Alpena
Mackinac,852.37,Alpena
Marquette,1321.73,Alpena
Presque Isle,679.8,Alpena
Roscommon,802.46,Alpena
Antrim,1139.45,Antrim
Barry,645.22,Antrim
Benzie,595.49,Antrim
Branch,832.06,Antrim
Cass,966.94,Antrim
Kalkaska,547.43,Antrim
Leelanau,801.3,Antrim
Manistee,621.82,Antrim
Newaygo,692.39,Antrim
Ogemaw,916.2,Antrim
Osceola,539.31,Antrim
Arenac,934.41,Arenac
Alcona,768.44,Arenac
Benzie,595.49,Arenac
Charlevoix,1410.45,Arenac
Clare,709.14,Arenac
Emmet,1152.14,Arenac
Gladwin,759.68,Arenac
Iosco,892.77,Arenac
Midland,802.06,Arenac
Missaukee,653.48,Arenac
Ogemaw,916.2,Arenac
Baraga,1092.72,Baraga
Alcona,768.44,Baraga
Alger,910.19,Baraga
Dickinson,554.11,Baraga
Gogebic,554.11,Baraga
Houghton,1195.81,Baraga
Iron,480.42,Baraga
Keweenaw,1067.27,Baraga
Marquette,1321.73,Baraga
Missaukee,653.48,Baraga
Montmorency,623.69,Baraga
Barry,645.22,Barry
Benzie,595.49,Barry
Branch,832.06,Barry
Cass,966.94,Barry
Isabella,728.87,Barry
Leelanau,801.3,Barry
Manistee,621.82,Barry
Mecosta,525.52,Barry
Montcalm,760.74,Barry
St. Joseph,927.18,Barry
Van Buren,1189.7,Barry
Benzie,595.49,Benzie
Antrim,1139.45,Benzie
Barry,645.22,Benzie
Branch,832.06,Benzie
Clare,709.14,Benzie
Emmet,1152.14,Benzie
Iosco,892.77,Benzie
Mecosta,525.52,Benzie
Montcalm,760.74,Benzie
Ogemaw,916.2,Benzie
Osceola,539.31,Benzie
Berrien,1208.9,Berrien
Allegan,751.4,Berrien
Clinton,938.03,Berrien
Eaton,787.96,Berrien
Grand Traverse,836.55,Berrien
Ingham,1029.19,Berrien
Kalamazoo,1189.2,Berrien
Monroe,1095.1,Berrien
Saginaw,1017.52,Berrien
St. Clair,1678.03,Berrien
Washtenaw,1373.27,Berrien
Branch,832.06,Branch
Barry,645.22,Branch
Cass,966.94,Branch
Isabella,728.87,Branch
Leelanau,801.3,Branch
Manistee,621.82,Branch
Mecosta,525.52,Branch
