NAME,Aveverage Spent per Corner Completed,wetlandd,pop_d,roadoverarea
Alcona,740.28,0.205478,14.643791,2594
Alger,887.39,0.245467,9.43768,1810
Allegan,717.59,0.140837,143.115858,4853
Alpena,763.71,0.408606,48.644574,2567
Antrim,1125.46,0.170798,44.65472,3594
Arenac,913.89,0.249951,40.790082,3682
Baraga,1078.5,0.211909,8.89268,1448
Barry,620.66,0.168299,108.250265,4384
Bay,687.61,0.108126,231.235945,5641
Benzie,566.88,0.187897,51.713566,4102
Berrien,1192.11,0.107205,265.933926,6553
Branch,812.11,0.159225,86.401402,4099
Calhoun,734.64,0.187238,187.091381,4847
Cass,994.18,0.15625,101.535719,4174
Charlevoix,1373.98,0.260622,57.448253,3491
Cheboygan,679.46,0.322688,32.159579,3373
Chippewa,739.92,0.439082,20.33312,1776
Clare,676.85,0.207719,53.680384,3788
Clinton,922.97,0.102837,137.83289,4495
Crawford,815.67,0.099716,23.076486,3708
Delta,505.82,0.414273,31.279773,1986
Dickinson,534.71,0.293073,33.441304,2073
Eaton,778.88,0.12155,188.5471,4731
Emmet,1110.77,0.204168,70.512092,3933
Genesee,1407.17,0.091373,625.756939,8044
Gladwin,726.02,0.278841,49.239405,3404
Gogebic,446.64,0.26566,12.559012,1681
Grand Traverse,806.49,0.137154,194.429872,5333
Gratiot,754.88,0.101889,73.118249,4230
Hillsdale,897.29,0.11311,75.433312,3951
Houghton,1110.77,0.167773,35.867094,2202
Huron,803.63,0.077527,37.467289,3806
Ingham,1004.29,0.141377,508.52186,6466
Ionia,798.32,0.113303,115.23796,4181
Iosco,855.62,0.217638,44.560515,3743
Iron,462.35,0.255139,9.607142,1833
Isabella,706.15,0.143686,111.559803,4227
Jackson,841.03,0.227567,221.837669,4923
Kalamazoo,1151.03,0.146979,451.196025,6433
Kalkaska,527.9,0.138714,31.468262,3298
Kent,528.6,0.126879,755.139258,8474
Keweenaw,1024.26,0.226755,3.636222,1079
Lake,553.64,0.115222,21.081283,4322
Lapeer,945.89,0.138407,133.760586,4385
Leelanau,761.48,0.151199,59.383688,3973
Lenawee,874.74,0.086155,130.68069,4286
Livingston,997.01,0.192745,331.378961,6428
Luce,787,0.447365,6.925093,1083
Mackinac,821.84,0.410602,10.18418,1956
Macomb,2896.17,0.075318,1821.401332,13518
Manistee,609.84,0.152163,44.915391,4168
Marquette,1270.03,0.274828,35.322244,1900
Mason,528.8,0.17958,56.996618,4137
Mecosta,460.1,0.156375,69.566162,4404
Menominee,433.23,0.466871,22.357983,2363
Midland,785.31,0.243654,158.216705,4280
Missaukee,633.91,0.216361,26.254432,2889
Monroe,1080.49,0.064128,277.639876,5676
Montcalm,742.29,0.176265,92.472291,4464
Montmorency,601.57,0.187563,16.283697,2684
Muskegon,628.02,0.144799,331.418947,6387
Newaygo,652.05,0.15071,58.043014,3913
Oakland,2312.93,0.14567,1405.664342,13545
Oceana,618,0.132311,48.835808,4461
Ogemaw,882.54,0.181634,36.142649,3625
Ontonagon,592.07,0.106583,4.377875,1282
Osceola,518.46,0.16294,39.985048,3789
Oscoda,530.53,0.089361,14.389597,3131
Otsego,746.83,0.120575,47.707333,3536
Ottawa,699.16,0.108054,513.650978,7065
Presque Isle,647.99,0.364149,18.965235,2751
Roscommon,782.54,0.361276,40.466517,3534
Saginaw,1011.35,0.09367,233.17525,5238
St. Clair,782.54,0.129607,42.132258,3570
St. Joseph,1011.35,0.142372,6.593529,1363
Sanilac,835.85,0.07654,125.977507,4347
Schoolcraft,1661.45,0.542049,218.244588,5059
Shiawassee,905.37,0.11228,117.025567,4345
Tuscola,867.04,0.093439,65.52522,3889
Van Buren,1159.88,0.168445,121.33904,4813
Washtenaw,1351.25,0.128551,515.689222,6590
Wayne,4046.93,0.090829,2791.988446,21527
Wexford,722.37,0.10824,58.565915,4413
