FID,Shape,OBJECTID,FIPSCODE,FIPSNUM,NAME *,LABEL *,TYPE,CNTY_CODE,SQKM,SQMILES,ACRES,VER,LAYOUT,PENINSULA,ShapeSTAre,ShapeSTLen,pop_d
41,Polygon,42,83,83,Keweenaw,Keweenaw County,County,83,1458.033,562.947,360283.964,17A,landscape,upper,3208259907,1122690.446,3.636222
65,Polygon,66,131,131,Ontonagon,Ontonagon County,County,131,3439.035,1327.813,849794.864,17A,landscape,upper,7299790616,433515.391,4.377875
76,Polygon,77,153,153,Schoolcraft,Schoolcraft County,County,153,3162.116,1220.894,781367.466,17A,portrait,upper,6603304064,437922.6446,6.593529
47,Polygon,48,95,95,Luce,Luce County,County,95,2398.85,926.197,592762.273,17A,portrait,upper,5058757262,298598.5573,6.925093
6,Polygon,7,13,13,Baraga,Baraga County,County,13,2374.275,916.709,586689.842,17A,portrait,upper,5041648784,460421.7345,8.89268
1,Polygon,2,3,3,Alger,Alger County,County,3,2424.879,936.247,599194.252,17A,landscape,upper,5102846216,567351.605,9.43768
35,Polygon,36,71,71,Iron,Iron County,County,71,3136.152,1210.87,774951.774,17A,landscape,upper,6548810382,381966.6725,9.607142
48,Polygon,49,97,97,Mackinac,Mackinac County,County,97,2754.242,1063.414,680580.7,17A,landscape,upper,5726294191,1089943.279,10.18418
26,Polygon,27,53,53,Gogebic,Gogebic County,County,53,2964.711,1144.676,732588.133,17A,landscape,upper,6232112512,508127.2975,12.559012
67,Polygon,68,135,135,Oscoda,Oscoda County,County,135,1479.527,571.246,365595.125,17A,portrait,lower,2928271528,216585.1803,14.389597
0,Polygon,1,1,1,Alcona,Alcona County,County,1,1798.557,694.424,444428.381,17A,landscape,lower,3559228988,242638.3531,14.643791
59,Polygon,60,119,119,Montmorency,Montmorency County,County,119,1456.624,562.403,359935.654,17A,portrait,lower,2917293993,217540.0152,16.283697
70,Polygon,71,141,141,Presque Isle,Presque Isle County,County,141,1773.714,684.832,438289.663,17A,landscape,lower,3590630295,344412.9064,18.965235
16,Polygon,17,33,33,Chippewa,Chippewa County,County,33,4685.36,1809.019,1157765.268,17A,landscape,upper,9811344954,871861.7949,20.33312
42,Polygon,43,85,85,Lake,Lake County,County,85,1486.334,573.874,367277.199,17A,portrait,lower,2874359262,214738.7921,21.081283
54,Polygon,55,109,109,Menominee,Menominee County,County,109,2722.178,1051.034,672657.663,17A,portrait,upper,5559389052,459932.4636,22.357983
19,Polygon,20,39,39,Crawford,Crawford County,County,39,1458.051,562.954,360288.275,17A,portrait,lower,2886413906,215253.4096,23.076486
56,Polygon,57,113,113,Missaukee,Missaukee County,County,113,1485.175,573.427,366990.807,17A,landscape,lower,2905973919,216136.2546,26.254432
20,Polygon,21,41,41,Delta,Delta County,County,41,3055.609,1179.772,755049.332,17A,portrait,upper,6317400599,828591.8102,31.279773
39,Polygon,40,79,79,Kalkaska,Kalkaska County,County,79,1476.637,570.13,364881.104,17A,portrait,lower,2923606770,216513.0923,31.468262
15,Polygon,16,31,31,Cheboygan,Cheboygan County,County,31,2060.59,795.595,509177.371,17A,portrait,lower,4188065734,320373.3204,32.159579
21,Polygon,22,43,43,Dickinson,Dickinson County,County,43,2010.193,776.136,496724.171,17A,portrait,upper,4168514263,291550.1983,33.441304
51,Polygon,52,103,103,Marquette,Marquette County,County,103,4840.395,1868.879,1196074.858,17A,portrait,upper,10193619485,563356.5859,35.322244
30,Polygon,31,61,61,Houghton,Houghton County,County,61,2697.371,1041.456,666527.675,17A,portrait,upper,5777408442,445225.7104,35.867094
64,Polygon,65,129,129,Ogemaw,Ogemaw County,County,129,1488.246,574.612,367749.618,17A,landscape,lower,2911123872,215799.9277,36.142649
31,Polygon,32,63,63,Huron,Huron County,County,63,2170.449,838.011,536323.929,17A,landscape,lower,4172998413,649504.3227,37.467289
66,Polygon,67,133,133,Osceola,Osceola County,County,133,1482.812,572.514,366406.973,17A,portrait,lower,2867646902,214168.4829,39.985048
