OBJECTID_1 *,Shape *,OBJECTID,FIPSCODE,FIPSNUM,NAME,LABEL,TYPE,CNTY_CODE,SQKM,SQMILES,ACRES,VER,LAYOUT,PENINSULA,ShapeSTAre,ShapeSTLen,Shape_Length,Shape_Area,Sum LENGTH,Summarized Length in METERS,Count of Lines,roadoverarea
82,Polygon,82,163,163,Wayne,Wayne County,County,163,1664.132,642.522,411211.496,17A,landscape,lower,3043911812,270287.7262,199903.0017,1664131805,13827443.08,13831753.5,95402,21527
63,Polygon,63,125,125,Oakland,Oakland County,County,125,2348.143,906.619,580232.428,17A,portrait,lower,4347223561,264318.896,194254.2636,2348142614,12276628.55,12280374.9,72008,13545
50,Polygon,50,99,99,Macomb,Macomb County,County,99,1253.069,483.811,309636.813,17A,portrait,lower,2322065731,247566.7003,181913.686,1253069220,6538514.507,6540023.965,39651,13518
41,Polygon,41,81,81,Kent,Kent County,County,81,2256.75,871.332,557649.046,17A,portrait,lower,4228600835,265682.2356,194021.3602,2256749925,7380909.077,7383428.052,37035,8474
25,Polygon,25,49,49,Genesee,Genesee County,County,49,1681.328,649.161,415460.728,17A,portrait,lower,3149199801,238303.0855,174112.6437,1681328019,5219928.769,5221649.043,25592,8044
70,Polygon,70,139,139,Ottawa,Ottawa County,County,139,1493.554,576.662,369061.218,17A,portrait,lower,2791595950,235620.7415,172258.1639,1493553842,4073257.059,4074347.761,17520,7065
81,Polygon,81,161,161,Washtenaw,Washtenaw County,County,161,1869.63,721.865,461990.608,17A,landscape,lower,3417434378,236902.9652,175261.1311,1869629792,4755266.66,4757072.038,19974,6590
11,Polygon,11,21,21,Berrien,Berrien County,County,21,1502.944,580.287,371381.504,17A,portrait,lower,2719647909,247108.5524,183701.3566,1502943810,3802392.429,3802458.014,15618,6553
33,Polygon,33,65,65,Ingham,Ingham County,County,65,1451.086,560.265,358567.301,17A,portrait,lower,2681513994,207864.7574,152902.1452,1451086008,3621320.838,3622764.14,16195,6466
39,Polygon,39,77,77,Kalamazoo,Kalamazoo County,County,77,1502.105,579.963,371174.188,17A,portrait,lower,2744440203,209385.5952,154906.0211,1502104821,3729598.908,3730651.502,15848,6433
47,Polygon,47,93,93,Livingston,Livingston County,County,93,1515.185,585.013,374406.248,17A,landscape,lower,2800361817,212150.3625,156050.6151,1515184645,3759337.607,3760742.579,13982,6428
61,Polygon,61,121,121,Muskegon,Muskegon County,County,121,1365.542,527.236,337429.114,17A,landscape,lower,2579961945,242297.1623,176316.3652,1365541881,3366607.265,3367524.091,13846,6387
58,Polygon,58,115,115,Monroe,Monroe County,County,115,1444.09,557.564,356838.488,17A,landscape,lower,2612929973,307545.2929,228706.6857,1444089677,3163517.992,3164695.738,11167,5676
9,Polygon,9,17,17,Bay,Bay County,County,17,1163.246,449.13,287441.27,17A,portrait,lower,2228216698,393049.7377,283843.7345,1163246075,2532584.009,2533386.852,9383,5641
28,Polygon,28,55,55,Grand Traverse,Grand Traverse County,County,55,1268.839,489.899,313533.58,17A,portrait,lower,2510903285,317004.423,225023.2703,1268839044,2611636.127,2612676.923,8799,5333
73,Polygon,73,145,145,Saginaw,Saginaw County,County,145,2111.864,815.391,521847.242,17A,landscape,lower,3996290875,283572.876,206141.9672,2111863605,4269780.091,4271256.051,16256,5238
74,Polygon,74,147,147,St. Clair,St. Clair County,County,147,1903.285,734.859,470306.821,17A,portrait,lower,3553998842,536617.5053,393744.6021,1903284674,3717407.048,3717819.342,13140,5059
38,Polygon,38,75,75,Jackson,Jackson County,County,75,1872.353,722.916,462663.569,17A,landscape,lower,3421990774,236026.3021,174620.2994,1872353197,3557495.069,3558906.492,12032,4923
3,Polygon,3,5,5,Allegan,Allegan County,County,5,2180.969,842.073,538923.422,17A,landscape,lower,4028375640,261622.0477,192581.5542,2180969196,4085466.941,4086491.061,12441,4853
13,Polygon,13,25,25,Calhoun,Calhoun County,County,25,1859.142,717.815,459399.014,17A,landscape,lower,3397388836,234935.677,173828.0458,1859141872,3478310.347,3479551.574,11525,4847
80,Polygon,80,159,159,Van Buren,Van Buren County,County,159,1613.374,622.924,398669.205,17A,landscape,lower,2947666327,232639.5424,172150.3178,1613374407,2997429.501,2997969.267,8255,4813
23,Polygon,23,45,45,Eaton,Eaton County,County,45,1499.559,578.98,370545.148,17A,landscape,lower,2770946153,210441.5854,154809.7024,1499559158,2738147.582,2739216.458,8337,4731
19,Polygon,19,37,37,Clinton,Clinton County,County,37,1486.923,574.101,367422.599,17A,landscape,lower,2778435394,210837.68,154237.1021,1486922515,2579741.024,2580768.606,7143,4495
59,Polygon,59,117,117,Montcalm,Montcalm County,County,117,1865.471,720.259,460962.934,17A,landscape,lower,3527547934,268266.3039,195157.6658,1865470898,3213935.968,3215191.596,7861,4464
64,Polygon,64,127,127,Oceana,Oceana County,County,127,1413.696,545.829,349328.244,17A,landscape,lower,2701884577,203416.287,147135.9202,1413696470,2434088.793,2434800.838,5587,4461
83,Polygon,83,165,165,Wexford,Wexford County,County,165,1489.144,574.959,367971.502,17A,landscape,lower,2913879272,216458.0537,154741.2265,1489143871,2536184.5,2537192.015,6090,4413
54,Polygon,54,107,107,Mecosta,Mecosta County,County,107,1478.283,570.766,365287.825,17A,landscape,lower,2825862824,212783.1755,153899.9978,1478283300,2512490.384,2513476.073,6035,4404
44,Polygon,44,87,87,Lapeer,Lapeer County,County,87,1715.946,662.527,424014.853,17A,portrait,lower,3220576402,237210.0188,173088.7389,1715945707,2904573.226,2905269.367,7877,4385
8,Polygon,8,15,15,Barry,Barry County,County,15,1493.487,576.636,369044.763,17A,landscape,lower,2759410416,210254.53,154680.7216,1493487250,2526933.493,2527808.704,6774,4384
78,Polygon,78,155,155,Shiawassee,Shiawassee County,County,155,1399.981,540.533,345939.226,17A,portrait,lower,2616734849,205289.0049,150145.3341,1399981452,2348669.725,2349562.077,6557,4347
75,Polygon,75,149,149,St. Joseph,St. Joseph County,County,149,1348.762,520.758,333282.825,17A,landscape,lower,2438710524,204069.65,151800.5812,1348762263,2261956.969,2262521.618,6547,4345
43,Polygon,43,85,85,Lake,Lake County,County,85,1486.334,573.874,367277.199,17A,portrait,lower,2874359262,214738.7921,154413.8678,1486334099,2479211.92,2480142.57,6115,4322
46,Polygon,46,91,91,Lenawee,Lenawee County,County,91,1970.474,760.801,486909.555,17A,landscape,lower,3561743925,241415.7023,179594.2333,1970474278,3259649.733,3260944.728,8759,4286
56,Polygon,56,111,111,Midland,Midland County,County,111,1366.678,527.675,337709.883,17A,portrait,lower,2612919112,208780.8409,150976.283,1366678127,2257756.494,2258585.077,6859,4280
29,Polygon,29,57,57,Gratiot,Gratiot County,County,57,1479.298,571.157,365538.458,17A,landscape,lower,2795658776,212721.4415,154738.1102,1479297585,2414767.104,2415720.051,5735,4230
37,Polygon,37,73,73,Isabella,Isabella County,County,73,1495.034,577.233,369426.916,17A,landscape,lower,2857881536,214079.795,154838.0217,1495033786,2439096.578,2440062.083,5852,4227
34,Polygon,34,67,67,Ionia,Ionia County,County,67,1501.142,579.592,370936.304,17A,landscape,lower,2805068782,211618.017,154807.3009,1501142130,2422124.024,2423058.649,6514,4181
14,Polygon,14,27,27,Cass,Cass County,County,27,1316.15,508.166,325224.286,17A,landscape,lower,2379286211,195770.3073,145621.9809,1316150163,2121001.643,2121290.085,5501,4174
51,Polygon,51,101,101,Manistee,Manistee County,County,101,1443.33,557.27,356650.805,17A,landscape,lower,2823578952,221364.8021,158296.6733,1443330143,2321910.36,2322769.081,5654,4168
53,Polygon,53,105,105,Mason,Mason County,County,105,1320.206,509.732,326226.518,17A,portrait,lower,2553288976,201370.1696,144795.887,1320206096,2108317.825,2109009.223,5204,4137
10,Polygon,10,19,19,Benzie,Benzie County,County,19,899.702,347.375,222318.933,17A,landscape,lower,1778552494,172183.8355,122485.0228,899702491.8,1424474.28,1425026.478,3434,4102
12,Polygon,12,23,23,Branch,Branch County,County,23,1345.131,519.355,332385.417,17A,landscape,lower,2432668086,197377.4184,146785.4681,1345130543,2127882.442,2128591.135,5143,4099
45,Polygon,45,89,89,Leelanau,Leelanau County,County,89,972.608,375.524,240334.137,17A,portrait,lower,1942658532,404657.4532,285804.7075,972608221,1491345.726,1491939.168,4172,3973
30,Polygon,30,59,59,Hillsdale,Hillsdale County,County,59,1570.962,606.549,388189.016,17A,portrait,lower,2838858691,214510.4724,159563.2628,1570962129,2395812.575,2396722.917,5436,3951
24,Polygon,24,47,47,Emmet,Emmet County,County,47,1252.942,483.761,309605.356,17A,portrait,lower,2553564898,318409.0562,222936.5256,1252941917,1901947.336,1902527.461,5029,3933
62,Polygon,62,123,123,Newaygo,Newaygo County,County,123,2230.301,861.12,551113.536,17A,portrait,lower,4250931707,266275.1439,192802.1445,2230301370,3368712.997,3369900.179,7418,3913
79,Polygon,79,157,157,Tuscola,Tuscola County,County,157,2107.647,813.763,520805.19,17A,portrait,lower,4004307705,327788.777,237640.4486,2107646521,3163936.75,3164687.001,7182,3889
32,Polygon,32,63,63,Huron,Huron County,County,63,2170.449,838.011,536323.929,17A,landscape,lower,4172998413,649504.3227,468346.2604,2170449309,3188854.27,3189128.708,7511,3806
67,Polygon,67,133,133,Osceola,Osceola County,County,133,1482.812,572.514,366406.973,17A,portrait,lower,2867646902,214168.4829,154002.2021,1482812377,2168166.436,2169028.689,4592,3789
18,Polygon,18,35,35,Clare,Clare County,County,35,1489.095,574.94,367959.308,17A,landscape,lower,2879553418,214797.4091,154463.5471,1489094526,2177016.801,2177863.209,4871,3788
35,Polygon,35,69,69,Iosco,Iosco County,County,69,1466.275,566.129,362320.611,17A,landscape,lower,2869568709,238162.0259,170275.4469,1466275281,2118650.426,2119009.989,5575,3743
20,Polygon,20,39,39,Crawford,Crawford County,County,39,1458.051,562.954,360288.275,17A,portrait,lower,2886413906,215253.4096,152986.8335,1458050618,2086688.932,2087381.699,3889,3708
6,Polygon,6,11,11,Arenac,Arenac County,County,11,952.628,367.81,235396.882,17A,landscape,lower,1846495076,316242.7065,227329.869,952627640.8,1353822.984,1354187.157,3157,3682
65,Polygon,65,129,129,Ogemaw,Ogemaw County,County,129,1488.246,574.612,367749.618,17A,landscape,lower,2911123872,215799.9277,154297.8587,1488245928,2082276.129,2082868.933,4420,3625
5,Polygon,5,9,9,Antrim,Antrim County,County,9,1358.721,524.603,335743.663,17A,landscape,lower,2719403331,255626.8025,180700.647,1358721030,1884681.391,1885377.533,4871,3594
76,Polygon,76,151,151,Sanilac,Sanilac County,County,151,2496.546,963.917,616903.275,17A,portrait,lower,4735504389,300689.9523,218322.1232,2496545862,3440415.832,3440718.791,7399,3570
69,Polygon,69,137,137,Otsego,Otsego County,County,137,1362.065,525.894,336569.861,17A,landscape,lower,2727835409,217038.7857,153356.5232,1362064569,1858988.053,1859555.169,4132,3536
72,Polygon,72,143,143,Roscommon,Roscommon County,County,143,1501.203,579.615,370951.379,17A,landscape,lower,2936944944,215770.388,154264.0414,1501203136,2047541.318,2048267.945,5825,3534
15,Polygon,15,29,29,Charlevoix,Charlevoix County,County,29,1174.711,453.556,290274.241,17A,landscape,lower,2375888031,491872.8048,344730.2612,1174710827,1582646.92,1583200.101,4146,3491
26,Polygon,26,51,51,Gladwin,Gladwin County,County,51,1335.36,515.583,329971.17,17A,portrait,lower,2582308021,205733.6571,147936.9145,1335360330,1754189.559,1754808.464,4095,3404
16,Polygon,16,31,31,Cheboygan,Cheboygan County,County,31,2060.59,795.595,509177.371,17A,portrait,lower,4188065734,320373.3204,224453.0284,2060589902,2682798.686,2683440.718,5871,3373
40,Polygon,40,79,79,Kalkaska,Kalkaska County,County,79,1476.637,570.13,364881.104,17A,portrait,lower,2923606770,216513.0923,153874.6789,1476637339,1879482.818,1880196.915,3405,3298
68,Polygon,68,135,135,Oscoda,Oscoda County,County,135,1479.527,571.246,365595.125,17A,portrait,lower,2928271528,216585.1803,153950.352,1479526913,1788022.437,1788476.232,3169,3131
57,Polygon,57,113,113,Missaukee,Missaukee County,County,113,1485.175,573.427,366990.807,17A,landscape,lower,2905973919,216136.2546,154513.9318,1485175094,1655849.346,1656498.788,2842,2889
71,Polygon,71,141,141,Presque Isle,Presque Isle County,County,141,1773.714,684.832,438289.663,17A,landscape,lower,3590630295,344412.9064,242076.135,1773714436,1883738.606,1883946.847,3647,2751
60,Polygon,60,119,119,Montmorency,Montmorency County,County,119,1456.624,562.403,359935.654,17A,portrait,lower,2917293993,217540.0152,153717.1048,1456623596,1509412.283,1509729.888,2958,2684
1,Polygon,1,1,1,Alcona,Alcona County,County,1,1798.557,694.424,444428.381,17A,landscape,lower,3559228988,242638.3531,172519.8157,1798557217,1800902.988,1801111.281,3551,2594
4,Polygon,4,7,7,Alpena,Alpena County,County,7,1539.373,594.352,380383.246,17A,landscape,lower,3082999171,408567.8362,288786.0457,1539372960,1525407.557,1525504.754,3262,2567
55,Polygon,55,109,109,Menominee,Menominee County,County,109,2722.178,1051.034,672657.663,17A,portrait,upper,5559389052,459932.4636,321942.7504,2722178297,2483034.422,2483693.479,5282,2363
31,Polygon,31,61,61,Houghton,Houghton County,County,61,2697.371,1041.456,666527.675,17A,portrait,upper,5777408442,445225.7104,304236.3934,2697370849,2293208.402,2293744.233,6026,2202
22,Polygon,22,43,43,Dickinson,Dickinson County,County,43,2010.193,776.136,496724.171,17A,portrait,upper,4168514263,291550.1983,202479.7518,2010193047,1608384.631,1608792.422,4229,2073
21,Polygon,21,41,41,Delta,Delta County,County,41,3055.609,1179.772,755049.332,17A,portrait,upper,6317400599,828591.8102,577173.2263,3055609141,2342624.764,2343494.302,4911,1986
49,Polygon,49,97,97,Mackinac,Mackinac County,County,97,2754.242,1063.414,680580.7,17A,landscape,upper,5726294191,1089943.279,757167.2601,2754242035,2079004.757,2079538.77,3519,1956
52,Polygon,52,103,103,Marquette,Marquette County,County,103,4840.395,1868.879,1196074.858,17A,portrait,upper,10193619485,563356.5859,387915.1803,4840395341,3549300.255,3550524.067,8459,1900
36,Polygon,36,71,71,Iron,Iron County,County,71,3136.152,1210.87,774951.774,17A,landscape,upper,6548810382,381966.6725,264468.3554,3136152333,2219418.749,2219734.444,4010,1833
2,Polygon,2,3,3,Alger,Alger County,County,3,2424.879,936.247,599194.252,17A,landscape,upper,5102846216,567351.605,390876.6559,2424879216,1693764.41,1694426.28,2471,1810
17,Polygon,17,33,33,Chippewa,Chippewa County,County,33,4685.36,1809.019,1157765.268,17A,landscape,upper,9811344954,871861.7949,603108.0125,4685360261,3212374.939,3212764.666,5723,1776
27,Polygon,27,53,53,Gogebic,Gogebic County,County,53,2964.711,1144.676,732588.133,17A,landscape,upper,6232112512,508127.2975,350512.6354,2964710913,1924050.352,1923719.215,4492,1681
7,Polygon,7,13,13,Baraga,Baraga County,County,13,2374.275,916.709,586689.842,17A,portrait,upper,5041648784,460421.7345,315487.5164,2374275122,1327463.126,1327794.846,2353,1448
77,Polygon,77,153,153,Schoolcraft,Schoolcraft County,County,153,3162.116,1220.894,781367.466,17A,portrait,upper,6603304064,437922.6446,303239.8706,3162115998,1663179.102,1663829.016,2092,1363
66,Polygon,66,131,131,Ontonagon,Ontonagon County,County,131,3439.035,1327.813,849794.864,17A,landscape,upper,7299790616,433515.391,297521.0938,3439034837,1701866.805,1701930.14,3725,1282
48,Polygon,48,95,95,Luce,Luce County,County,95,2398.85,926.197,592762.273,17A,portrait,upper,5058757262,298598.5573,205553.8312,2398849643,1003172.145,1003492.504,1221,1083
42,Polygon,42,83,83,Keweenaw,Keweenaw County,County,83,1458.033,562.947,360283.964,17A,landscape,upper,3208259907,1122690.446,753472.6611,1458033175,607219.4205,607434.582,1155,1079
