OBJECTID_1 *,Shape *,OBJECTID,FIPSCODE,FIPSNUM,NAME,LABEL,TYPE,CNTY_CODE,SQKM,SQMILES,ACRES,VER,LAYOUT,PENINSULA,ShapeSTAre,ShapeSTLen,Shape_Length,Shape_Area,Sum ACRES,Summarized Area in ACRES,Count of Polygons,wetlandd
1,Polygon,1,1,1,Alcona,Alcona County,County,1,1798.557,694.424,444428.381,17A,landscape,lower,3559228988,242638.3531,172519.8157,1798557217,91320.0845,91320.07851,6640,0.205478
2,Polygon,2,3,3,Alger,Alger County,County,3,2424.879,936.247,599194.252,17A,landscape,upper,5102846216,567351.605,390876.6559,2424879216,147082.5623,147082.5943,10098,0.245467
3,Polygon,3,5,5,Allegan,Allegan County,County,5,2180.969,842.073,538923.422,17A,landscape,lower,4028375640,261622.0477,192581.5542,2180969196,75900.46942,75900.47178,19155,0.140837
4,Polygon,4,7,7,Alpena,Alpena County,County,7,1539.373,594.352,380383.246,17A,landscape,lower,3082999171,408567.8362,288786.0457,1539372960,155426.894,155426.8796,6060,0.408606
5,Polygon,5,9,9,Antrim,Antrim County,County,9,1358.721,524.603,335743.663,17A,landscape,lower,2719403331,255626.8025,180700.647,1358721030,57344.44044,57344.4362,3046,0.170798
6,Polygon,6,11,11,Arenac,Arenac County,County,11,952.628,367.81,235396.882,17A,landscape,lower,1846495076,316242.7065,227329.869,952627640.8,58837.65999,58837.65338,6048,0.249951
7,Polygon,7,13,13,Baraga,Baraga County,County,13,2374.275,916.709,586689.842,17A,portrait,upper,5041648784,460421.7345,315487.5164,2374275122,124324.5895,124324.5756,9928,0.211909
8,Polygon,8,15,15,Barry,Barry County,County,15,1493.487,576.636,369044.763,17A,landscape,lower,2759410416,210254.53,154680.7216,1493487250,62110.04683,62110.04549,14110,0.168299
9,Polygon,9,17,17,Bay,Bay County,County,17,1163.246,449.13,287441.27,17A,portrait,lower,2228216698,393049.7377,283843.7345,1163246075,31080.01423,31079.93371,6422,0.108126
10,Polygon,10,19,19,Benzie,Benzie County,County,19,899.702,347.375,222318.933,17A,landscape,lower,1778552494,172183.8355,122485.0228,899702491.8,41772.98738,41773.12955,2417,0.187897
11,Polygon,11,21,21,Berrien,Berrien County,County,21,1502.944,580.287,371381.504,17A,portrait,lower,2719647909,247108.5524,183701.3566,1502943810,39813.83696,39813.8278,10095,0.107205
12,Polygon,12,23,23,Branch,Branch County,County,23,1345.131,519.355,332385.417,17A,landscape,lower,2432668086,197377.4184,146785.4681,1345130543,52924.03386,52924.03473,9731,0.159225
13,Polygon,13,25,25,Calhoun,Calhoun County,County,25,1859.142,717.815,459399.014,17A,landscape,lower,3397388836,234935.677,173828.0458,1859141872,86016.90318,86016.9102,13706,0.187238
14,Polygon,14,27,27,Cass,Cass County,County,27,1316.15,508.166,325224.286,17A,landscape,lower,2379286211,195770.3073,145621.9809,1316150163,50816.3879,50816.38559,7337,0.15625
15,Polygon,15,29,29,Charlevoix,Charlevoix County,County,29,1174.711,453.556,290274.241,17A,landscape,lower,2375888031,491872.8048,344730.2612,1174710827,75643.06876,75651.87012,2868,0.260622
16,Polygon,16,31,31,Cheboygan,Cheboygan County,County,31,2060.59,795.595,509177.371,17A,portrait,lower,4188065734,320373.3204,224453.0284,2060589902,164305.4905,164305.5295,5579,0.322688
17,Polygon,17,33,33,Chippewa,Chippewa County,County,33,4685.36,1809.019,1157765.268,17A,landscape,upper,9811344954,871861.7949,603108.0125,4685360261,508375.9266,508354.0344,14115,0.439082
18,Polygon,18,35,35,Clare,Clare County,County,35,1489.095,574.94,367959.308,17A,landscape,lower,2879553418,214797.4091,154463.5471,1489094526,76432.15419,76432.15413,15227,0.207719
19,Polygon,19,37,37,Clinton,Clinton County,County,37,1486.923,574.101,367422.599,17A,landscape,lower,2778435394,210837.68,154237.1021,1486922515,37784.42965,37784.49704,9751,0.102837
20,Polygon,20,39,39,Crawford,Crawford County,County,39,1458.051,562.954,360288.275,17A,portrait,lower,2886413906,215253.4096,152986.8335,1458050618,35926.59956,35926.6018,4547,0.099716
21,Polygon,21,41,41,Delta,Delta County,County,41,3055.609,1179.772,755049.332,17A,portrait,upper,6317400599,828591.8102,577173.2263,3055609141,312796.7587,312796.8718,22979,0.414273
22,Polygon,22,43,43,Dickinson,Dickinson County,County,43,2010.193,776.136,496724.171,17A,portrait,upper,4168514263,291550.1983,202479.7518,2010193047,145576.5997,145576.3978,5736,0.293073
23,Polygon,23,45,45,Eaton,Eaton County,County,45,1499.559,578.98,370545.148,17A,landscape,lower,2770946153,210441.5854,154809.7024,1499559158,45039.60424,45039.60814,12455,0.12155
24,Polygon,24,47,47,Emmet,Emmet County,County,47,1252.942,483.761,309605.356,17A,portrait,lower,2553564898,318409.0562,222936.5256,1252941917,63211.57764,63211.602,2699,0.204168
25,Polygon,25,49,49,Genesee,Genesee County,County,49,1681.328,649.161,415460.728,17A,portrait,lower,3149199801,238303.0855,174112.6437,1681328019,37961.93353,37961.93369,9021,0.091373
26,Polygon,26,51,51,Gladwin,Gladwin County,County,51,1335.36,515.583,329971.17,17A,portrait,lower,2582308021,205733.6571,147936.9145,1335360330,92009.40168,92009.40005,16517,0.278841
27,Polygon,27,53,53,Gogebic,Gogebic County,County,53,2964.711,1144.676,732588.133,17A,landscape,upper,6232112512,508127.2975,350512.6354,2964710913,194619.6313,194619.6128,13814,0.26566
28,Polygon,28,55,55,Grand Traverse,Grand Traverse County,County,55,1268.839,489.899,313533.58,17A,portrait,lower,2510903285,317004.423,225023.2703,1268839044,43002.52568,43002.53482,5056,0.137154
29,Polygon,29,57,57,Gratiot,Gratiot County,County,57,1479.298,571.157,365538.458,17A,landscape,lower,2795658776,212721.4415,154738.1102,1479297585,37244.35053,37244.38386,7394,0.101889
30,Polygon,30,59,59,Hillsdale,Hillsdale County,County,59,1570.962,606.549,388189.016,17A,portrait,lower,2838858691,214510.4724,159563.2628,1570962129,43907.86887,43907.86896,13315,0.11311
31,Polygon,31,61,61,Houghton,Houghton County,County,61,2697.371,1041.456,666527.675,17A,portrait,upper,5777408442,445225.7104,304236.3934,2697370849,111824.7491,111825.5736,10225,0.167773
32,Polygon,32,63,63,Huron,Huron County,County,63,2170.449,838.011,536323.929,17A,landscape,lower,4172998413,649504.3227,468346.2604,2170449309,41579.72237,41579.71702,5479,0.077527
33,Polygon,33,65,65,Ingham,Ingham County,County,65,1451.086,560.265,358567.301,17A,portrait,lower,2681513994,207864.7574,152902.1452,1451086008,50693.22466,50693.22686,12982,0.141377
34,Polygon,34,67,67,Ionia,Ionia County,County,67,1501.142,579.592,370936.304,17A,landscape,lower,2805068782,211618.017,154807.3009,1501142130,42027.90278,42028.03774,10128,0.113303
35,Polygon,35,69,69,Iosco,Iosco County,County,69,1466.275,566.129,362320.611,17A,landscape,lower,2869568709,238162.0259,170275.4469,1466275281,78854.68643,78854.68573,6508,0.217638
